Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F5 star
Planet A1.1,  18.671088037626845, 72.59343 d, 0.023523451092231085, Wrong Period,  16.81394782459981 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.2,  34.334279776490675, 1.35103 d, 7.735662647978536e-05, Wrong Period,  19.911054622456025 d, 1.30136 d, Wrong t0 value, Transit not found
Planet A1.3,  16.43192616067553, 1.11012 d, 5.953427598914818e-05, Wrong Period,  15.254201491367711 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.4,  29.871822852189776, 2.08451 d, 0.00020686544102077598, Wrong Period,  4.807944620458114 d, 1.03909 d, Correct t0 value, Transit not found
Planet A1.5,  41.519122734852374, 1.11012 d, 5.953427598914818e-05, Wrong Period,  29.959693324080902 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.6,  68.87349582116417, 215.17614 d, 0.2002671647637726, Wrong Period,  48.739660229740316 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.7,  57.129663082915386, 72.59343 d, 0.023523451092231085, Wrong Period,  27.789701005922666 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.8,  40.08789869661558, 73.14517 d, 0.015843705539012376, Wrong Period,  18.212415198850007 d, 46.60692 d, Wrong t0 value, Transit not found
Planet A1.9,  61.98796997827035, 27.58906 d, 0.00431775921251365, Wrong Period,  14.000055109237843 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.10,  64.00515819016029, 215.17614 d, 0.2002671647637726, Wrong Period,  60.520052447515525 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.11,  67.78307739820536, 2.08451 d, 0.00020686544102077598, Wrong Period,  18.635399910618283 d, 1.04851 d, Wrong t0 value, Transit not found
Planet A1.12,  30.779903494743714, 1.11012 d, 5.953427598914818e-05, Wrong Period,  6.371427775123302 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.13,  49.21514030274983, 72.59343 d, 0.023523451092231085, Wrong Period,  48.979559593438836 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.14,  64.0053382081441, 81.10903 d, 0.027272684084799437, Wrong Period,  27.220234081785776 d, 53.36979 d, Wrong t0 value, Transit not found
Planet A1.15,  45.349541476186204, 1.35103 d, 7.735662647978536e-05, Wrong Period,  4.7055015294643585 d, 0.80741 d, Correct t0 value, Transit not found
Planet A1.16,  68.59289759106646, 1.11012 d, 5.953427598914818e-05, Wrong Period,  46.77464327704551 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.17,  70.81192944619389, 27.58906 d, 0.00431775921251365, Wrong Period,  33.46159312647465 d, 14.28112 d, Wrong t0 value, Transit not found
Planet A1.18,  49.857407529252384, 81.10903 d, 0.027272684084799437, Wrong Period,  9.572632364073373 d, 53.36979 d, Wrong t0 value, Transit not found
Planet A1.19,  10.72514961418486, 27.58906 d, 0.00431775921251365, Wrong Period,  3.5654336275628844 d, 2.68287 d, Correct t0 value, Transit not found
Planet A1.20,  61.87892682230228, 2.08451 d, 0.00020686544102077598, Wrong Period,  17.448747342570087 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.21,  27.721516193567318, 1.35103 d, 7.735662647978536e-05, Wrong Period,  20.819149997909257 d, 1.30058 d, Wrong t0 value, Transit not found
Planet A1.22,  24.216892482772597, 149.64438 d, 0.12349149835625894, Wrong Period,  19.91177557934182 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A1.23,  74.70275265371511, 215.17614 d, 0.2002671647637726, Wrong Period,  25.81751664420054 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.24,  16.212938424811103, 149.64438 d, 0.12349149835625894, Wrong Period,  2.0266861043917497 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A1.25,  57.87941062419832, 2.08451 d, 0.00020686544102077598, Wrong Period,  44.75768736515964 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.26,  70.39179671680239, 38.81625 d, 0.010211810424493706, Wrong Period,  38.94483465764629 d, 12.32086 d, Wrong t0 value, Transit not found
Planet A1.27,  43.01371389200617, 1.11012 d, 5.953427598914818e-05, Wrong Period,  1.4388991047367783 d, 0.57639 d, Correct t0 value, Transit not found
Planet A1.28,  7.476692489738143, 2.08451 d, 0.00020686544102077598, Wrong Period,  2.860818511914732 d, 1.87453 d, Correct t0 value, Transit not found
Planet A1.29,  72.57876910760692, 1.11012 d, 5.953427598914818e-05, Wrong Period,  67.83347252182529 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.30,  48.447240049723966, 1.11012 d, 5.953427598914818e-05, Wrong Period,  2.227909074406559 d, 0.50996 d, Correct t0 value, Transit not found
Planet A1.31,  61.23546440437473, 2.08451 d, 0.00020686544102077598, Wrong Period,  38.85134580619302 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.32,  18.161111060988794, 2.08451 d, 0.00020686544102077598, Wrong Period,  15.073974526268648 d, 1.03909 d, Wrong t0 value, Transit not found
Planet A1.33,  74.84202843898585, 72.59343 d, 0.03136008521040168, Correct Period,  9.784229813508594 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.34,  55.57680152929584, 215.17614 d, 0.23369339753662643, Wrong Period,  20.952909564569936 d, 154.49920 d, Wrong t0 value, Transit not found
Planet A1.35,  63.09407286401442, 191.72764 d, 0.08590794008901526, Wrong Period,  4.115576470612211 d, 122.81136 d, Wrong t0 value, Transit not found
Planet A1.36,  4.499658288255004, 72.59343 d, 0.023523451092231085, Wrong Period,  3.3197159519373045 d, 4.21859 d, Correct t0 value, Transit not found
Planet A1.37,  24.771340766803025, 217.66616 d, 0.06781573770078353, Wrong Period,  6.315581972364209 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A1.38,  70.4873787805198, 217.66616 d, 0.06781573770078353, Wrong Period,  63.01878106330573 d, 70.92727 d, Wrong t0 value, Transit not found
Planet A1.39,  22.11845773921976, 72.59343 d, 0.023523451092231085, Wrong Period,  17.51382208065395 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.40,  17.04983541166122, 280.92355 d, 0.19058563922934013, Wrong Period,  15.127624064629622 d, 23.05959 d, Wrong t0 value, Transit not found
Planet A1.41,  32.85363565252945, 217.66616 d, 0.06781573770078353, Wrong Period,  24.60652770690774 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A1.42,  50.16162126920602, 4.88967 d, 0.0004298482404396786, Wrong Period,  13.45949962165593 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.43,  61.864149016755775, 1.35103 d, 7.735662647978536e-05, Wrong Period,  41.62795668046985 d, 1.30136 d, Wrong t0 value, Transit not found
Planet A1.44,  68.63268614069575, 1.11012 d, 5.953427598914818e-05, Wrong Period,  33.307830687110176 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.45,  0.26039540592821264, 1.11012 d, 5.953427598914818e-05, Correct Period,  0.05406887537497922 d, 0.57639 d, Correct t0 value, Found Correct Transit
Planet A1.46,  28.058068189064855, 73.14517 d, 0.015843705539012376, Wrong Period,  16.78909383890138 d, 46.60692 d, Wrong t0 value, Transit not found
Planet A1.47,  62.77010310953548, 2.08451 d, 0.00020686544102077598, Wrong Period,  16.89432470897735 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.48,  21.152307572048993, 1.11012 d, 5.953427598914818e-05, Wrong Period,  18.265908257356568 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.49,  71.20650978171308, 2.08451 d, 0.00020686544102077598, Wrong Period,  67.3326287959586 d, 1.04851 d, Wrong t0 value, Transit not found
Planet A1.50,  46.79601960865959, 1.35103 d, 7.735662647978536e-05, Wrong Period,  29.704111898880896 d, 0.80741 d, Wrong t0 value, Transit not found
Planet A1.51,  71.71568752318811, 215.17614 d, 0.2002671647637726, Wrong Period,  32.90119630524861 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.52,  12.170292372236297, 1.35103 d, 7.735662647978536e-05, Wrong Period,  8.265811192988595 d, 0.06060 d, Wrong t0 value, Transit not found
Planet A1.53,  34.788196025409555, 27.58906 d, 0.00431775921251365, Wrong Period,  20.870995446204986 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.54,  65.90519042479785, 4.88967 d, 0.0004298482404396786, Wrong Period,  60.45091202649828 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.55,  67.14061748169262, 81.10903 d, 0.027272684084799437, Wrong Period,  62.15833800408175 d, 53.36979 d, Wrong t0 value, Transit not found
Planet A1.56,  62.531257104142405, 81.10903 d, 0.027272684084799437, Wrong Period,  56.601503876886795 d, 53.36979 d, Correct t0 value, Transit not found
Planet A1.57,  18.97636909660182, 72.59343 d, 0.023523451092231085, Wrong Period,  14.567747850895564 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.58,  20.77247343458386, 280.92355 d, 0.19058563922934013, Wrong Period,  3.0181646112519456 d, 23.05959 d, Wrong t0 value, Transit not found
Planet A1.59,  33.71290137445975, 215.17614 d, 0.20035005242812076, Wrong Period,  10.416694978474524 d, 154.48152 d, Wrong t0 value, Transit not found
Planet A1.60,  29.084616932198067, 217.66616 d, 0.06781573770078353, Wrong Period,  28.4863741954579 d, 70.93621 d, Wrong t0 value, Transit not found
Planet A1.61,  36.459199338471414, 73.14517 d, 0.015843705539012376, Wrong Period,  17.33586914623392 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A1.62,  64.95677427177479, 2.08451 d, 0.00020686544102077598, Wrong Period,  48.35561774119003 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.63,  4.754963700772619, 1.35103 d, 7.735662647978536e-05, Correct Period,  4.680078981443494 d, 1.30058 d, Correct t0 value, Found Correct Transit
Planet A1.64,  14.64589532216973, 73.14517 d, 0.015843705539012376, Wrong Period,  9.82400334939275 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A1.65,  35.92342636540914, 1.11012 d, 5.953427598914818e-05, Wrong Period,  7.220112795436344 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.66,  61.33682475998246, 1.11012 d, 5.953427598914818e-05, Wrong Period,  10.328475029779776 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.67,  72.47333408290882, 1.11012 d, 5.953427598914818e-05, Wrong Period,  61.67642336327801 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.68,  52.92437339440054, 215.17614 d, 0.23369339753662643, Wrong Period,  38.19126534174057 d, 154.48152 d, Wrong t0 value, Transit not found
Planet A1.69,  36.95573912746495, 73.14517 d, 0.015843705539012376, Wrong Period,  5.737996109347089 d, 46.64299 d, Wrong t0 value, Transit not found
Planet A1.70,  20.395948959639295, 2.08451 d, 0.00020686544102077598, Wrong Period,  5.729639387627174 d, 1.03909 d, Correct t0 value, Transit not found
Planet A1.71,  0.19541683615719452, 215.17614 d, 0.2002671647637726, Wrong Period,  0.18359064920675983 d, 154.49036 d, Wrong t0 value, Transit not found
Planet A1.72,  18.636028275832377, 149.64438 d, 0.12349149835625894, Wrong Period,  15.028023575924301 d, 134.76987 d, Wrong t0 value, Transit not found
Planet A1.73,  51.94299069102344, 27.58906 d, 0.00431775921251365, Wrong Period,  8.243679859684516 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.74,  33.98533075815641, 72.59343 d, 0.023523451092231085, Wrong Period,  30.666044711946085 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.75,  65.83550229113858, 27.58906 d, 0.00431775921251365, Wrong Period,  15.097988439007212 d, 2.68287 d, Wrong t0 value, Transit not found
Planet A1.76,  58.637255975588594, 1.11012 d, 5.953427598914818e-05, Wrong Period,  13.001589801492964 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.77,  54.86615447078148, 1.11012 d, 5.953427598914818e-05, Wrong Period,  25.452382236045295 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.78,  24.092179530520184, 280.92355 d, 0.19058563922934013, Wrong Period,  16.967250265510565 d, 23.05959 d, Wrong t0 value, Transit not found
Planet A1.79,  47.870353544384216, 4.88967 d, 0.0004298482404396786, Wrong Period,  30.17408334429279 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.80,  44.307019343888484, 1.11012 d, 5.953427598914818e-05, Wrong Period,  20.821721854064652 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.81,  8.239135808128829, 1.11012 d, 5.953427598914818e-05, Wrong Period,  6.369689317637574 d, 0.57639 d, Wrong t0 value, Transit not found
Planet A1.82,  26.147508516658572, 4.88967 d, 0.0004298482404396786, Wrong Period,  17.838234143698024 d, 2.03733 d, Wrong t0 value, Transit not found
Planet A1.83,  59.288745983353486, 217.66616 d, 0.06781573770078353, Wrong Period,  28.726116707079488 d, 70.92727 d, Wrong t0 value, Transit not found
Planet A1.84,  57.229544598001006, 4.88967 d, 0.0004298482404396786, Wrong Period,  45.398682028584666 d, 2.03753 d, Wrong t0 value, Transit not found
Planet A1.85,  44.528037988243376, 2.08451 d, 0.00020686544102077598, Wrong Period,  5.891887808497475 d, 1.04936 d, Correct t0 value, Transit not found
Planet A1.86,  59.64123703236396, 1.11012 d, 5.953427598914818e-05, Wrong Period,  3.762165439891732 d, 0.50996 d, Correct t0 value, Transit not found
Planet A1.87,  2.364083906607478, 202.66168 d, 0.06165544684846225, Wrong Period,  0.5698855299382621 d, 179.58021 d, Wrong t0 value, Transit not found
Planet A1.88,  7.331789555107168, 62.09680 d, 0.012736053815672221, Wrong Period,  2.3573793973818655 d, 8.71999 d, Wrong t0 value, Transit not found
Planet A1.89,  62.704274791158866, 72.59343 d, 0.03136008521040168, Wrong Period,  15.715379371970485 d, 4.21859 d, Wrong t0 value, Transit not found
Planet A1.90,  72.6730756930551, 2.08451 d, 0.00020686544102077598, Wrong Period,  56.137808193229105 d, 1.04851 d, Wrong t0 value, Transit not found
Planet A1.91,  32.03576768474954, 27.58906 d, 0.00431775921251365, Correct Period,  28.573350255183552 d, 14.29359 d, Wrong t0 value, Transit not found
Planet A1.92,  3.3906613097463234, 27.58906 d, 0.00431775921251365, Wrong Period,  3.2539700530887723 d, 2.68287 d, Correct t0 value, Transit not found
Planet A1.93,  10.288528657749897, 72.59343 d, 0.023523451092231085, Wrong Period,  5.526517633453338 d, 4.21859 d, Correct t0 value, Transit not found
Planet A1.94,  61.159883678500016, 2.08451 d, 0.00020686544102077598, Wrong Period,  51.86759210084648 d, 1.04936 d, Wrong t0 value, Transit not found
Planet A1.95,  44.16681942028385, 73.14517 d, 0.015843705539012376, Wrong Period,  8.059343946015769 d, 46.60692 d, Wrong t0 value, Transit not found
Planet A1.96,  63.63048637136387, 1.35103 d, 7.735662647978536e-05, Wrong Period,  58.17493946867809 d, 1.30058 d, Wrong t0 value, Transit not found
