Planet number, mass of planet, radii planet, period, first transit, a, dur, noise file
A1.1, 0.1561545025737667, 0.599865258107175, 18.671088037626845, 16.81394782459981, 32.64892250047827, 0.9127505245499589,1, 
A1.2, 0.15652894430050626, 0.6011788893205384, 34.334279776490675, 19.911054622456025, 49.00507555393203, 1.1157921156389694,6, 
A1.3, 0.15363808468739854, 0.602188316453195, 16.43192616067553, 15.254201491367711, 29.983437204719298, 0.8753406291578933,3, 
A1.4, 0.15635338866316947, 0.6032187870701281, 29.871822852189776, 4.807944620458114, 44.66118602070296, 1.0655673862787796,8, 
A1.5, 0.16294433362095936, 0.6041190500422214, 41.519122734852374, 29.959693324080902, 55.62301808273197, 1.1882785780939216,3, 
A1.6, 0.15888648092375862, 0.6050148455411847, 68.87349582116417, 48.739660229740316, 77.94540550752774, 1.405716884459309,2, 
A1.7, 0.159595990248133, 0.6060540307735229, 57.129663082915386, 27.789701005922666, 68.81189925973334, 1.3210460658037166,1, 
A1.8, 0.16372443131162656, 0.6072641425864737, 40.08789869661558, 18.212415198850007, 54.33728887931297, 1.1745339604535627,5, 
A1.9, 0.1680353002299264, 0.6081746616422462, 61.98796997827035, 14.000055109237843, 72.65977495021679, 1.3573506535318625,9, 
A1.10, 0.1600977147223391, 0.608970665915257, 64.00515819016029, 60.520052447515525, 74.2276571832554, 1.3718699214712575,2, 
A1.11, 0.1694941081396157, 0.6100469033294798, 67.78307739820536, 18.635399910618283, 77.12052208872679, 1.3982665696235148,8, 
A1.12, 0.16967518613185656, 0.6112569254710127, 30.779903494743714, 6.371427775123302, 45.56177224783333, 1.0761527284471963,3, 
A1.13, 0.16994331395780551, 0.6122060788983728, 49.21514030274983, 48.979559593438836, 62.30003031770854, 1.2572152616274264,1, 
A1.14, 0.17266402534139957, 0.6132983656920117, 64.0053382081441, 27.220234081785776, 74.22779705941484, 1.3718602882901347,10, 
A1.15, 0.16839075561903008, 0.6140152731917715, 45.349541476186204, 4.7055015294643585, 58.99352848345515, 1.2235455274017994,6, 
A1.16, 0.17269845946560775, 0.6152305541288932, 68.59289759106646, 46.77464327704551, 77.73355683508647, 1.403784183960146,3, 
A1.17, 0.1667638845174886, 0.6159894673009202, 70.81192944619389, 33.46159312647465, 79.40113745697562, 1.4187189800726578,9, 
A1.18, 0.1704187729442731, 0.6169967511113307, 49.857407529252384, 9.572632364073373, 62.84087662223593, 1.2626262070303553,10, 
A1.19, 0.16852664416575974, 0.6182069547730924, 10.72514961418486, 3.5654336275628844, 22.560982674635614, 0.7620545730457485,9, 
A1.20, 0.17693094118897093, 0.6191434555681995, 61.87892682230228, 17.448747342570087, 72.57453979822276, 1.3565294642496963,8, 
A1.21, 0.1783628270904952, 0.6202812726181983, 27.721516193567318, 20.819149997909257, 42.49134017179913, 1.0395564646436661,6, 
A1.22, 0.17934212362788846, 0.621404337130413, 24.216892482772597, 19.91177557934182, 38.83005912006995, 0.9942158549051375,10, 
A1.23, 0.181254179343176, 0.6222994912707964, 74.70275265371511, 25.81751664420054, 82.28364339315104, 1.4441588538603392,2, 
A1.24, 0.1779884863956878, 0.623183782975057, 16.212938424811103, 2.0266861043917497, 29.716450329794753, 0.8714750641485055,10, 
A1.25, 0.1747000999244288, 0.6243049679771493, 57.87941062419832, 44.75768736515964, 69.41263129296868, 1.3267352881270478,8, 
A1.26, 0.1770937990511351, 0.6253874487442217, 70.39179671680239, 38.94483465764629, 79.08676457022902, 1.415890638828891,5, 
