Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, F8 star
Planet A1.1,  36.87616414848427, 36.86912 d, 0.015890940773868323, Correct Period,  31.57689319043582 d, 31.64758 d, Correct t0 value, Found Correct Transit
Planet A1.2,  3.62579624599568, 3.62583 d, 0.0008655145726499391, Correct Period,  1.9296257852572738 d, 1.92854 d, Correct t0 value, Found Correct Transit
Planet A1.3,  12.899192528057652, 12.89882 d, 0.004700354431309783, Correct Period,  7.865002048851926 d, 7.88138 d, Correct t0 value, Found Correct Transit
Planet A1.4,  71.23336009351341, 358.70852 d, 1.319432744568246, Wrong Period,  10.798886162559452 d, 135.39900 d, Wrong t0 value, Transit not found
Planet A1.5,  51.430749819093435, 51.43407 d, 0.02476441447821287, Correct Period,  32.78621701721561 d, 32.78045 d, Correct t0 value, Found Correct Transit
Planet A1.6,  15.607782249642572, 15.60859 d, 0.007070630496877506, Correct Period,  11.388937998545723 d, 11.36776 d, Correct t0 value, Found Correct Transit
Planet A1.7,  5.562663114341737, 5.56277 d, 0.001786645873762538, Correct Period,  3.455708153597008 d, 3.44435 d, Correct t0 value, Found Correct Transit
Planet A1.8,  66.38782204806989, 66.38522 d, 0.027844182346598245, Correct Period,  58.430935417696645 d, 58.43375 d, Correct t0 value, Found Correct Transit
Planet A1.9,  54.07527233890248, 360.03184 d, 0.928601891309853, Wrong Period,  53.734459121455856 d, 359.72121 d, Wrong t0 value, Transit not found
Planet A1.10,  22.410611853005282, 22.40871 d, 0.013088557283333913, Correct Period,  5.0201763749684165 d, 5.05922 d, Correct t0 value, Found Correct Transit
Planet A2.1,  67.09759939776225, 67.10034 d, 0.04943538721068563, Correct Period,  56.13291700277845 d, 56.11811 d, Correct t0 value, Found Correct Transit
Planet A2.2,  48.3390500890584, 360.03184 d, 0.5306287716947793, Wrong Period,  39.82929464488525 d, 314.96138 d, Wrong t0 value, Transit not found
Planet A2.3,  48.36187281624757, 48.36237 d, 0.027378356119264424, Correct Period,  44.772645664561644 d, 44.77721 d, Correct t0 value, Found Correct Transit
Planet A2.4,  60.2645279332526, 360.29728 d, 0.9951753927934988, Wrong Period,  33.64825243895644 d, 359.44147 d, Wrong t0 value, Transit not found
Planet A2.5,  53.56362490747966, 358.70852 d, 1.3864251192502763, Wrong Period,  32.657242004804246 d, 135.39900 d, Wrong t0 value, Transit not found
Planet A2.6,  2.807463516333744, 2.80744 d, 0.0008205089630359819, Correct Period,  0.4551206721740313 d, 0.46210 d, Correct t0 value, Found Correct Transit
Planet A2.7,  13.447083466559112, 13.44654 d, 0.005796871781102553, Correct Period,  1.2167843344049554 d, 1.24224 d, Correct t0 value, Found Correct Transit
Planet A2.8,  5.4771155525454756, 5.47738 d, 0.002000075785034028, Correct Period,  4.422885861300906 d, 4.41174 d, Correct t0 value, Found Correct Transit
Planet A2.9,  12.447487688676034, 12.44745 d, 0.0059764454170849746, Correct Period,  1.7965649443607132 d, 1.79277 d, Correct t0 value, Found Correct Transit
Planet A2.10,  29.2032800627411, 29.20372 d, 0.016301040078275264, Correct Period,  20.096696895486378 d, 20.10620 d, Correct t0 value, Found Correct Transit
Planet A3.1,  32.24854573729932, 360.03184 d, 0.7294358889223531, Wrong Period,  26.32451679216783 d, 359.80999 d, Wrong t0 value, Transit not found
Planet A3.2,  39.14532662107668, 39.14483 d, 0.020652048676101487, Correct Period,  6.994505958763008 d, 6.94704 d, Correct t0 value, Found Correct Transit
