Planet number, mass of planet, radii planet, period, first transit, a, dur, noise file
A1.1, 1.8126452748016781, 1.2000232911235293, 36.87616414848427, 31.57689319043582, 49.812522407222595, 1.8907320231801685,3, 
A1.2, 1.968832192723244, 1.2112116216277289, 3.62579624599568, 1.9296257852572738, 10.611506067581017, 0.9837621943016951,3, 
A1.3, 1.9704494964981127, 1.2222521150631016, 12.899192528057652, 7.865002048851926, 24.72956330255589, 1.3506375163279483,5, 
A1.4, 2.052720887497862, 1.2332443905391193, 71.23336009351341, 10.798886162559452, 77.26160878485452, 2.3486763380409705,6, 
A1.5, 2.131970842122343, 1.24453818840915, 51.430749819093435, 32.78621701721561, 62.18086017788242, 2.109060780329585,9, 
A1.6, 2.130592334709646, 1.2553604496539428, 15.607782249642572, 11.388937998545723, 28.08033508647829, 1.4331599215464572,7, 
A1.7, 2.209363472279362, 1.266586737020835, 5.562663114341737, 3.455708153597008, 14.115513719013, 1.0651553620264742,2, 
A1.8, 2.1713907744447325, 1.2779674941273969, 66.38782204806989, 58.430935417696645, 73.71690895077654, 2.2944536242861666,5, 
A1.9, 2.1796052619598165, 1.2890153287628177, 54.07527233890248, 53.734459121455856, 64.29452350721499, 2.1441109886470526,1, 
A1.10, 2.2696996430469407, 1.300020826720469, 22.410611853005282, 5.0201763749684165, 35.73913303491818, 1.6080042327212867,4, 
A2.1, 2.279522566753205, 1.2998554753611749, 67.09759939776225, 56.13291700277845, 74.24140730303272, 2.302479410985046,3, 
A2.2, 2.229429253235205, 1.3111585228155618, 48.3390500890584, 39.82929464488525, 59.66325330799259, 2.066260383437965,8, 
A2.3, 2.3376737490895367, 1.3221617713442366, 48.36187281624757, 44.772645664561644, 59.68203667667275, 2.066555171843174,2, 
A2.4, 2.2915783745147578, 1.3331395638416852, 60.2645279332526, 33.64825243895644, 69.11135126562114, 2.222086233362227,1, 
A2.5, 2.335243562658007, 1.344477344156226, 53.56362490747966, 32.657242004804246, 63.888329696401826, 2.137261256662375,6, 
A2.6, 2.4489819496746525, 1.3556693867366048, 2.807463516333744, 0.4551206721740313, 8.94782912672638, 0.9859265643768377,10, 
A2.7, 2.4750131338566868, 1.3666017819287524, 13.447083466559112, 1.2167843344049554, 25.424963851513148, 1.367871699784249,1, 
A2.8, 2.428778477242479, 1.3779220299725115, 5.4771155525454756, 4.422885861300906, 13.970422151005655, 1.0610789182632783,1, 
A2.9, 2.547329230764726, 1.3888217450668954, 12.447487688676034, 1.7965649443607132, 24.148830679840614, 1.3356461464576002,8, 
A2.10, 2.4830680087543606, 1.4000155929878095, 29.2032800627411, 20.096696895486378, 42.63792246931671, 1.7516706033115743,3, 
A3.1, 2.5764919456471898, 1.4000153370004027, 32.24854573729932, 26.32451679216783, 45.55279923885317, 1.8092119207987558,1, 
A3.2, 2.6402080156775733, 1.4112273349553783, 39.14532662107668, 6.994505958763008, 51.8356183145264, 1.927628216900209,3, 
A3.3, 2.567700508848931, 1.422420831421297, 31.355507108317767, 6.366490096864726, 44.70789230170361, 1.7926670542444965,9, 
A3.4, 2.68124464021691, 1.4334801858258859, 41.83480099139683, 28.69976224855468, 54.18347095002641, 1.9700769030678327,3, 
A3.5, 2.6052040803008296, 1.444613857099146, 20.401307202234392, 17.179553403532577, 33.569663437851204, 1.559973744413351,1, 
A3.6, 2.6614554867420965, 1.455638189630247, 50.28238682537084, 6.635914445692504, 61.25181094018918, 2.0929130025865574,9, 
A3.7, 2.813513690019354, 1.4667932230893603, 18.572404028607593, 3.7984858419316705, 31.532166630752606, 1.5138448598176062,9, 
A3.8, 2.7960838474743013, 1.4777631916267242, 44.09125136795366, 7.714167758746129, 56.11470378188195, 2.004277191419654,10, 
A3.9, 2.8569273299086144, 1.488906284127191, 18.304833971595183, 16.323461103553374, 31.22858281018857, 1.5068311515115684,10, 
A3.10, 2.789944517298053, 1.499803525522256, 40.021118143722944, 19.513872503467088, 52.60590964924934, 1.9414715670677267,8, 
A4.1, 2.846680435170246, 1.4998933323948105, 18.012018293456045, 4.2763890543608465, 30.894653524622306, 1.499107196975719,8, 
