Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G2 star
Planet A1.1,  55.47095775936586, 67.39779 d, 0.014205943940993393, Wrong Period,  4.816661139919795 d, 52.01191 d, Wrong t0 value, Transit not found
Planet A1.2,  0.22783288741822227, 0.68352 d, 7.795942906130282e-05, Correct Period,  0.17024027195669475 d, 0.38548 d, Correct t0 value, Found Correct Transit
Planet A1.3,  22.381034713171776, 75.80631 d, 0.024928975549059373, Wrong Period,  0.5606431692942347 d, 5.65707 d, Wrong t0 value, Transit not found
Planet A1.4,  9.427746469237697, 2.87496 d, 0.00021173171256516632, Wrong Period,  1.2214069394411333 d, 0.72242 d, Correct t0 value, Transit not found
Planet A1.5,  51.04737621406229, 65.01225 d, 0.020306441815279186, Wrong Period,  31.51079598767913 d, 27.48720 d, Correct t0 value, Transit not found
Planet A1.6,  72.60873253305137, 129.15005 d, 0.03381183051237713, Wrong Period,  54.41282508507445 d, 28.87886 d, Wrong t0 value, Transit not found
Planet A1.7,  26.39638454355746, nan d, -182.1917299712955, Wrong Period,  10.02783652112439 d, no values d, Wrong t0 value, Transit not found
Planet A1.8,  21.907245622641724, 2.29408 d, 0.00023507023856650378, Wrong Period,  5.247686630234625 d, 1.16562 d, Correct t0 value, Transit not found
Planet A1.9,  30.132284075579634, 218.41384 d, 0.17035172894780715, Wrong Period,  27.40249576605608 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.10,  21.939423986033674, 218.41384 d, 0.17035172894780715, Wrong Period,  0.227816647185679 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.11,  9.16864633114046, 105.68666 d, 0.025880312253548254, Wrong Period,  1.4621127411805046 d, 37.36488 d, Wrong t0 value, Transit not found
Planet A1.12,  26.034601153645728, 75.80631 d, 0.024928975549059373, Wrong Period,  6.3092316707968275 d, 5.65707 d, Correct t0 value, Transit not found
Planet A1.13,  30.671329087578123, 2.44042 d, 0.00025524985591696137, Wrong Period,  26.50260269986335 d, 0.79090 d, Wrong t0 value, Transit not found
Planet A1.14,  52.597197263443924, 2.29408 d, 0.00023507023856650378, Wrong Period,  39.946497223209555 d, 1.16307 d, Wrong t0 value, Transit not found
Planet A1.15,  19.996908361491503, 204.39788 d, 0.0623607202563079, Wrong Period,  7.939368685655305 d, 118.93899 d, Wrong t0 value, Transit not found
Planet A1.16,  4.430600671775581, 4.43027 d, 0.0009422090912569736, Correct Period,  0.7280114367700661 d, 0.76283 d, Correct t0 value, Found Correct Transit
Planet A1.17,  38.81026199255661, 363.23447 d, 0.13423280726283338, Wrong Period,  28.270462064577785 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A1.18,  70.33377092133198, 363.23447 d, 0.13423280726283338, Wrong Period,  43.40745881107063 d, 356.72572 d, Wrong t0 value, Transit not found
Planet A1.19,  60.62719477063283, 7.99926 d, 0.001657190366949557, Wrong Period,  37.342170772328785 d, 0.45280 d, Wrong t0 value, Transit not found
Planet A1.20,  40.58955051698856, 75.80631 d, 0.024928975549059373, Wrong Period,  6.937105169750951 d, 5.65707 d, Correct t0 value, Transit not found
Planet A1.21,  24.242054384189377, 65.01225 d, 0.020306441815279186, Wrong Period,  11.997744254733897 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.22,  73.4460259926886, 65.01225 d, 0.020306441815279186, Wrong Period,  60.28504608395271 d, 27.48720 d, Wrong t0 value, Transit not found
Planet A1.23,  22.631303424834805, 218.41384 d, 0.17035172894780715, Wrong Period,  8.925148898623354 d, 113.85365 d, Wrong t0 value, Transit not found
Planet A1.24,  27.620179342013422, 75.80631 d, 0.024928975549059373, Wrong Period,  18.449741417490667 d, 5.65084 d, Wrong t0 value, Transit not found
Planet A1.25,  54.84622803744711, 21.05558 d, 0.004517501571520199, Wrong Period,  44.58530184055143 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.26,  11.233445369850505, 21.05558 d, 0.004517501571520199, Wrong Period,  7.598785888503095 d, 17.42288 d, Wrong t0 value, Transit not found
Planet A1.27,  45.18809088780256, 0.90034 d, 4.5028377214595405e-05, Wrong Period,  18.571473855463946 d, 0.45656 d, Wrong t0 value, Transit not found
