Planet number, mass of planet, radii planet, period, first transit, a, dur, noise file
A1.1, 0.15765581888573058, 0.5998544123444132, 55.47095775936586, 4.816661139919795, 61.20186124132408, 0.5755241732473082,4, 
A1.2, 0.16119658321665767, 0.6008779114973457, 0.22783288741822227, 0.17024027195669475, 1.5696342427171073, 0.5755241732473082,5, 
A1.3, 0.16044218813690778, 0.6021465745989153, 22.381034713171776, 0.5606431692942347, 33.417526056800284, 0.4254466436181688,3, 
A1.4, 0.15913257108322088, 0.6028797063118715, 9.427746469237697, 1.2214069394411333, 18.77843740712769, 0.31933606823423005,1, 
A1.5, 0.15808210029069159, 0.6040913281054201, 51.04737621406229, 31.51079598767913, 57.903276180211556, 0.5598006343394198,7, 
A1.6, 0.16317615620881037, 0.6048979750127704, 72.60873253305137, 54.41282508507445, 73.23411311100301, 0.6295130014974726,3, 
A1.7, 0.1592725097034868, 0.6059925762601357, 26.39638454355746, 10.02783652112439, 37.30357764404577, 0.44944285340656054,8, 
A1.8, 0.16073952603028757, 0.6069148962050747, 21.907245622641724, 5.247686630234625, 32.94423091015269, 0.4224210989298387,5, 
A1.9, 0.15976121217180353, 0.6080198258205504, 30.132284075579634, 27.40249576605608, 40.74511581626527, 0.4696771445584131,1, 
A1.10, 0.1632470918483986, 0.6091584959080215, 21.939423986033674, 0.227816647185679, 32.976483095039605, 0.42262295528859023,1, 
A1.11, 0.1648923221287803, 0.6099389012874832, 9.16864633114046, 1.4621127411805046, 18.432786967910943, 0.31639585671229475,3, 
A1.12, 0.16487571057885786, 0.6110004050851774, 26.034601153645728, 6.3092316707968275, 36.961944384212295, 0.44737374400966456,3, 
A1.13, 0.16524358841554748, 0.6121165017013125, 30.671329087578123, 26.50260269986335, 41.22961259564562, 0.472448024554201,6, 
A1.14, 0.1699056735213034, 0.6129731661108792, 52.597197263443924, 39.946497223209555, 59.06940468913968, 0.5653820663338794,5, 
A1.15, 0.17056864678414976, 0.6139959523400731, 19.996908361491503, 7.939368685655305, 31.000076351114913, 0.40978642485503386,4, 
A1.16, 0.16694570992009652, 0.6152726906160503, 4.430600671775581, 0.7280114367700661, 11.350872975770342, 0.2490855209252534,4, 
A1.17, 0.17418852617750105, 0.6160749631048086, 38.81026199255661, 28.270462064577785, 48.233847999779556, 0.5109422018866664,10, 
A1.18, 0.16835921453124944, 0.617129277122649, 70.33377092133198, 43.40745881107063, 71.69630817342973, 0.6228368733459331,10, 
A1.19, 0.17417204262415542, 0.6181967692565418, 60.62719477063283, 37.342170772328785, 64.93804004749246, 0.5927692223396989,6, 
A1.20, 0.17491408414119877, 0.6192129118285629, 40.58955051698856, 6.937105169750951, 49.69702091801323, 0.5186179547968962,3, 
A1.21, 0.17956788464576107, 0.6200936454161717, 24.242054384189377, 11.997744254733897, 35.245240408296816, 0.4368639820761924,7, 
A1.22, 0.17740644105812148, 0.6211606348999986, 73.4460259926886, 60.28504608395271, 73.7960410083408, 0.6318751269191436,7, 
