Planet number, Real Period, Calculated Period, Period uncertainty, Result, Real t0, t0 calculated, t0 result, TLS outcome, G8 star
Planet A1.1,  73.37227772512107, 360.03184 d, 0.26531422575996544, Wrong Period,  12.86675453771049 d, 359.88397 d, Wrong t0 value, Transit not found
Planet A1.2,  67.63463961130579, 1.51466 d, 0.00013513516619534371, Wrong Period,  61.24378749350414 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A1.3,  66.66879244539344, 135.39649 d, 0.23418764767585287, Wrong Period,  15.782558320072484 d, 44.24873 d, Wrong t0 value, Transit not found
Planet A1.4,  31.42664371089967, 251.68550 d, 0.575876969820456, Wrong Period,  0.9458269653123913 d, 226.36842 d, Wrong t0 value, Transit not found
Planet A1.5,  37.92546056916216, 359.76665 d, 1.3939340618412643, Wrong Period,  25.751174989429266 d, 134.84607 d, Wrong t0 value, Transit not found
Planet A1.6,  6.885424660751887, 353.86825 d, 0.1944091129815888, Wrong Period,  4.037539359073876 d, 22.12076 d, Wrong t0 value, Transit not found
Planet A1.7,  15.84531793725536, 1.12969 d, 6.093813467600295e-05, Wrong Period,  8.524028571388143 d, 0.84207 d, Wrong t0 value, Transit not found
Planet A1.8,  17.563252077013853, 360.03184 d, 0.26531422575996544, Wrong Period,  6.1605986553558445 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A1.9,  8.595037079762713, 220.05707 d, 0.10323766871574946, Wrong Period,  4.370823445223674 d, 59.59636 d, Wrong t0 value, Transit not found
Planet A1.10,  48.70489068545491, 1.51466 d, 0.00013513516619534371, Wrong Period,  43.81223209911417 d, 0.62009 d, Wrong t0 value, Transit not found
Planet A1.11,  64.62636141119536, 360.29728 d, 1.526691376245708, Wrong Period,  36.20434170100469 d, 134.54295 d, Wrong t0 value, Transit not found
Planet A1.12,  16.59241348675492, 226.72572 d, 0.25056502268488146, Wrong Period,  6.570531991053284 d, 176.83338 d, Wrong t0 value, Transit not found
Planet A1.13,  26.329731268035534, 4.82069 d, 0.0010543936219278294, Wrong Period,  22.224394754793874 d, 4.77774 d, Wrong t0 value, Transit not found
Planet A1.14,  51.4886245286617, 360.03184 d, 0.19903453806375637, Wrong Period,  35.45931194812323 d, 359.94316 d, Wrong t0 value, Transit not found
Planet A1.15,  67.5283133838808, 360.29728 d, 1.526691376245708, Wrong Period,  21.028499121275654 d, 134.54295 d, Wrong t0 value, Transit not found
