Planet number, mass of planet, radii planet, period, first transit, a, dur, noise file
A1.1, 0.1544295105101061, 0.5998510427842316, 73.37227772512107, 12.86675453771049, 70.40150564039259, 2.6578451026114482,9, 
A1.2, 0.15323773494556467, 0.6010413526035647, 67.63463961130579, 61.24378749350414, 66.68171064892591, 2.587316672289318,6, 
A1.3, 0.16120941545400833, 0.601924617745383, 66.66879244539344, 15.782558320072484, 66.04536466350643, 2.5750597258870274,2, 
A1.4, 0.1556978322830151, 0.6029037179102087, 31.42664371089967, 0.9458269653123913, 40.003004863829496, 2.0127036218523586,3, 
A1.5, 0.1588696420571536, 0.6038438696773211, 37.92546056916216, 25.751174989429266, 45.34344620106955, 2.1395983392958184,7, 
A1.6, 0.15920489523739687, 0.6051067214580035, 6.885424660751887, 4.037539359073876, 14.538327101371213, 1.2760743264838201,3, 
A1.7, 0.15835850017882383, 0.6062395921983429, 15.84531793725536, 8.524028571388143, 25.341243397469455, 1.6188016649713344,10, 
A1.8, 0.15993848268887778, 0.6071911229988931, 17.563252077013853, 6.1605986553558445, 27.141295426061294, 1.6714840880470123,9, 
A1.9, 0.16076684505464658, 0.6081917864457723, 8.595037079762713, 4.370823445223674, 16.85488470140436, 1.352018199999803,6, 
A1.10, 0.16129095573482014, 0.6090856113953731, 48.70489068545491, 43.81223209911417, 53.57255159982435, 2.3221625415569056,6, 
A1.11, 0.16085015545780057, 0.6099695152912531, 64.62636141119536, 36.20434170100469, 64.68949382970546, 2.548733408279319,7, 
A1.12, 0.16144932660574274, 0.6112584520409644, 16.59241348675492, 6.570531991053284, 26.131659534871396, 1.64209530059562,8, 
A1.13, 0.16647276018244814, 0.611942208387663, 26.329731268035534, 22.224394754793874, 35.55152516942273, 1.900876271683131,5, 
A1.14, 0.1688753357144842, 0.6132974233126032, 51.4886245286617, 35.45931194812323, 55.594882128594044, 2.364938013952791,9, 
A1.15, 0.16736000656825425, 0.6140045908474292, 67.5283133838808, 21.028499121275654, 66.61180796842778, 2.5859346683368853,7, 
A1.16, 0.16962379577557876, 0.615199935678906, 39.28086192789884, 32.798830319000906, 46.41745159861192, 2.164236184512813,10, 
A1.17, 0.1711313834805912, 0.6160686844220501, 26.302446906517773, 3.5893994431779257, 35.52696077765344, 1.9002333074580415,9, 
A1.18, 0.17727549924779248, 0.6171532813731468, 0.9363626520205587, 0.7206951209152196, 3.844648850601077, 1.9002333074580415,7, 
A1.19, 0.17809121096761454, 0.6180451291784779, 51.83006510355779, 1.2113427527326233, 55.84039235730374, 2.3700683296197305,9, 
A1.20, 0.17274905659305534, 0.6190533673707938, 40.68266138480945, 16.020608871357727, 47.51530553178676, 2.18916566175561,5, 
A1.21, 0.17589324464193284, 0.6203766334394144, 40.85542743491096, 15.332892683064514, 47.649732052432434, 2.1921973055242203,1, 
A1.22, 0.17424284053861194, 0.6212765764474244, 51.40809359678404, 26.94668729085835, 55.536898459313115, 2.3636999182429586,4, 
A1.23, 0.17536408769315723, 0.6224165532748489, 73.62249131574325, 46.52950713121375, 70.56147163149856, 2.66076764265956,2, 
A1.24, 0.17955410685232695, 0.6230912113807602, 53.84973533188812, 7.206760246586136, 57.28175837984915, 2.400034360017832,7, 
A1.25, 0.17599515605141772, 0.624061049660235, 73.36983172332808, 58.61191435061101, 70.39994273453306, 2.6577417299574746,5, 
A1.26, 0.18397947935233513, 0.6252519999861849, 5.986577256702052, 1.8022832458190619, 13.243812456643175, 1.2348926143714212,5, 
A1.27, 0.18215259523771743, 0.6263053346161938, 46.72535713185895, 36.75039663597247, 52.11095672197348, 2.2907124518951285,10, 
A1.28, 0.18205058044134037, 0.6271240238629723, 9.891604692641708, 8.92455059324541, 18.509944994718655, 1.406122018990962,2, 
A1.29, 0.1887706676051597, 0.6282908602710942, 57.94673947579508, 34.044721608039055, 60.151523722701306, 2.4586508975187757,5, 
A1.30, 0.18703616132511025, 0.6293969378223132, 25.284513987885486, 21.11727806527871, 34.60432398662426, 1.876256699724924,7, 
A1.31, 0.18765192429543004, 0.6303791121064948, 19.933380665245696, 13.195989096370361, 29.53121191027274, 1.739318512860396,2, 
A1.32, 0.18149403810642448, 0.6314840615566364, 43.4989176695447, 19.097973027286077, 49.683585206693074, 2.2376058550345825,3, 
A1.33, 0.19328895293864318, 0.6321878241260548, 61.763590049839166, 13.745361868840732, 62.76472837130356, 2.510867925645031,3, 
A1.34, 0.19085382678538312, 0.6331623615706569, 74.68693940229005, 47.85903542504648, 71.23997196027456, 2.673387086335155,8, 
A1.35, 0.1845245990331596, 0.63446431104195, 37.259623415966544, 14.611789302336582, 44.811168514575684, 2.1271971838290553,3, 
A1.36, 0.19597724697110522, 0.6354796592477684, 54.63282738650055, 37.87205339584068, 57.835756218355854, 2.4114264320233216,9, 
A1.37, 0.19191979115875102, 0.6365202918156863, 71.59775843460883, 9.214060853857278, 69.26176943680171, 2.6363216952134847,9, 
A1.38, 0.19328805497945573, 0.6372287583388555, 15.389427663814342, 11.714836136692856, 24.852816406147166, 1.6042078534749433,4, 
A1.39, 0.1921896629582794, 0.6385795103834858, 13.359170938561792, 1.8278527957748314, 22.61588757548863, 1.5363056154342936,4, 
A1.40, 0.19455991053352736, 0.6393621435080877, 5.227972779003795, 3.27595728042599, 12.099929638876597, 1.2010257673322553,3, 
A1.41, 0.19632093629994044, 0.640569997349715, 52.24134627261083, 23.813620764950183, 56.135406799523906, 2.3761726238219647,1, 
A1.42, 0.1993197142844649, 0.6414968536971193, 12.561005436418505, 8.32409248644481, 21.705855353602004, 1.5080471854259914,3, 
A1.43, 0.2013050318315357, 0.6422782965831898, 24.71133599062016, 20.498514928993735, 34.079361834884324, 1.8624781069837837,8, 
A1.44, 0.20136442765016171, 0.6434727314996775, 22.377907683278327, 19.42122150365065, 31.89874683409669, 1.8043483363763857,5, 
A1.45, 0.20044186176811266, 0.6443142563585162, 52.22587841665663, 2.828975912001969, 56.124325967290574, 2.375931031817628,7, 
A1.46, 0.1965352092873226, 0.6453530218673759, 13.744591811687801, 8.54767858569739, 23.048811275255233, 1.54960602850858,3, 
A1.47, 0.20111785662504508, 0.6463939269891474, 9.416489365044031, 4.306451448939488, 17.912380933482225, 1.3866185313558939,2, 
A1.48, 0.20463572603206923, 0.6475319355893844, 8.091131658278119, 1.792165316174607, 16.1895017677744, 1.3300654981788131,2, 
A1.49, 0.2045531056666884, 0.6485508301714918, 34.68832549385324, 3.466021495163597, 42.72507777191898, 2.0781897123894137,4, 
A1.50, 0.20817268651062346, 0.6495101756657405, 53.76312689719903, 26.721780731053027, 57.22032493569005, 2.3986908018775503,7, 
A1.51, 0.20966632828470416, 0.6504734805904596, 6.192162389274075, 5.587840429957292, 13.545307401038931, 1.2442503767430837,5, 
A1.52, 0.2111570035884333, 0.651557108979743, 23.978805782326972, 3.5560816163349624, 33.402502731318435, 1.8445920347030917,7, 
A1.53, 0.21343369267576087, 0.652408462706611, 29.06739120935635, 5.727260002215814, 37.975020156034034, 1.9623868933337567,10, 
A1.54, 0.2091444284298301, 0.6535102660978587, 40.21535186770167, 4.226584716564532, 47.150744629355124, 2.180827388526872,4, 
A1.55, 0.2071556364795668, 0.6546449391332392, 20.909926052759108, 2.1153055784883117, 30.48800245542112, 1.7658132005949232,3, 
A1.56, 0.2128196853639326, 0.6556999804411391, 44.62262573386174, 25.160769608023195, 50.53559579455914, 2.2563153462922703,5, 
A1.57, 0.22045880120461828, 0.6566816397237913, 12.773980997052819, 10.956296602079204, 21.95052051921795, 1.5156509741029442,9, 
A1.58, 0.2104276363559638, 0.6575162689466176, 4.657557723259909, 3.9060902155692823, 11.202960509457366, 1.1779808923973214,10, 
A1.59, 0.2225560172607788, 0.6586620078319246, 2.308151467146524, 2.172100944585233, 7.015686656805299, 1.9002333074580415,8, 
A1.60, 0.2162530923273151, 0.6594601443680806, 39.2623554843279, 31.082598641055963, 46.40287379982601, 2.163792186545314,6, 
A1.61, 0.21511994099168566, 0.6604748188604677, 16.147293265678492, 7.235838903013012, 25.662194881220294, 1.6281915636979674,8, 
A1.62, 0.21928650410913358, 0.661755723683907, 26.15766912024997, 0.28038852277157505, 35.39647437373868, 1.8967620831266572,7, 
A1.63, 0.2187157710917226, 0.6626508038891863, 15.240353438069265, 7.628033031289985, 24.692060804895707, 1.5993531346185748,9, 
A1.64, 0.22004309528052393, 0.6636524538175947, 12.986211279188245, 8.384475628483488, 22.192980017141164, 1.5231750770409878,4, 
A1.65, 0.22723529604445644, 0.6646493219048856, 3.3813992830865365, 2.4578410962619865, 9.049507694402527, 1.1656353182225143,2, 
A1.66, 0.23093732883084953, 0.6655732821724732, 12.874775244279938, 5.19556820583072, 22.065837835428116, 1.5192225617218,3, 
A1.67, 0.2224895115501058, 0.6667044593733051, 18.78439039086256, 5.264439078555874, 28.385206024700697, 1.7069820408942369,8, 
A1.68, 0.22703276065563635, 0.6676195410906115, 25.082340573521915, 13.31953371048871, 34.419616173712456, 1.8713454447177356,2, 
A1.69, 0.22974977229502772, 0.6685486993988264, 55.42466054108964, 47.09597571104459, 58.393254187081354, 2.4227796381685,5, 
A1.70, 0.23433026680931884, 0.6698748601930579, 16.338457639837152, 14.004113693559997, 25.86433741928237, 1.6341302766613595,6, 
A1.71, 0.23596882336292352, 0.6706048994501531, 51.41196124407589, 14.792647842845962, 55.53968788463511, 2.363623688227623,5, 
A1.72, 0.23380099361549803, 0.6718749025666451, 7.236786564484604, 5.890424995412259, 15.02880659222362, 1.2919285314152678,6, 
A1.73, 0.23036088683535635, 0.672584763449756, 50.843489597420785, 8.955202926133635, 55.129520852719324, 2.3549976695235544,4, 
A1.74, 0.24005671415946828, 0.6737209372176456, 30.58679137416731, 16.416924168164925, 39.28709675779184, 1.9949512678643275,10, 
A1.75, 0.231264873592781, 0.6748510282123742, 51.59195811676548, 50.95038791467855, 55.66924428053806, 2.3663287311785672,6, 
A1.76, 0.24198114313702437, 0.6757510486600093, 12.702527015259928, 11.774103651602248, 21.868587950633586, 1.5130635559964782,5, 
A1.77, 0.24575141385142996, 0.6769512711399023, 61.942850023701055, 48.10786626078041, 62.886117253047914, 2.513138469863039,6, 
A1.78, 0.23386878086960103, 0.6776518697528342, 57.35648328685198, 13.42344064279702, 59.742353842359066, 2.450235236633691,5, 
A1.79, 0.247498859314363, 0.6787146276480654, 19.64013859710102, 0.14620009277571278, 29.240874605960546, 1.731095050850443,10, 
A1.80, 0.24062623911734213, 0.679625429782316, 59.09303979868869, 9.63509489999577, 60.942211519218105, 2.474420711265298,1, 
A1.81, 0.2398955207442867, 0.6809206402563376, 60.00292116609544, 32.762040030922854, 61.566186243756945, 2.486906636530783,7, 
A1.82, 0.24243267729856616, 0.6819080361014112, 57.78644904173091, 50.75042522580351, 60.04055006717631, 2.4562569696353735,4, 
A1.83, 0.24621572820039875, 0.6828908155293162, 26.80957876408169, 16.704377562560264, 35.98216735725444, 1.9117980643163879,6, 
A1.84, 0.24950823946277173, 0.6839116610879097, 23.32521698299392, 9.091823479720077, 32.79274628327227, 1.8282932932500688,1, 
A1.85, 0.24630849639998711, 0.6849912230701942, 8.127869909793208, 0.5080732986036705, 16.23847178136173, 1.331613790994172,2, 
A1.86, 0.25475718214149284, 0.6857863159708543, 9.221808137142121, 4.836722459904739, 17.664637032336667, 1.3784507716235908,2, 
A1.87, 0.2600433466219415, 0.6866813514628336, 13.794527304565927, 5.8448767738081395, 23.104604990066264, 1.5512389037524879,9, 
A1.88, 0.2609517405122059, 0.6878157403141971, 55.70569629403424, 39.41103741805166, 58.590482032794064, 2.426762065883375,2, 
A1.89, 0.25881095757021894, 0.6890224054028259, 0.1336695712331304, 0.10308245403285925, 1.050144434918439, 1.9002333074580415,10, 
A1.90, 0.2611472282538611, 0.6898552840967777, 68.2340468468477, 64.57450741266459, 67.07511397350187, 2.594598453746684,6, 
A1.91, 0.2533898956572283, 0.690974501813879, 16.299671518210243, 9.740766438191233, 25.8233886013933, 1.632884093989104,7, 
A1.92, 0.2546427544193917, 0.6917438818174988, 5.141941534733293, 0.024844545860319485, 11.966819837181497, 1.197266646953615,10, 
A1.93, 0.25580503991831444, 0.6929242573069665, 8.474856387103566, 5.856197071719652, 16.697401700468895, 1.3466974545803607,3, 
A1.94, 0.25865983997299524, 0.6941132787737163, 0.26055398898613136, 0.12072439636583097, 1.6386736972473228, 1.9002333074580415,1, 
A1.95, 0.26512157199126657, 0.6948041062824643, 54.04830989871067, 33.470039668751426, 57.422497883481675, 2.402743164855401,1, 
A1.96, 0.2676570321378089, 0.6961211875063875, 0.9881210348865077, 0.6709109223462282, 3.9850529780783606, 1.9002333074580415,4, 
A1.97, 0.26703980182633263, 0.6971089049126361, 0.6737953828848009, 0.38741167014620254, 3.087303721926772, 1.9002333074580415,10, 
A1.98, 0.27086604036231343, 0.6980084115978089, 40.835471327769184, 24.866512161331613, 47.63421943944254, 2.191650129368948,5, 
A1.99, 0.2744139958935535, 0.6990432634490926, 59.61449648028239, 43.5332014951715, 61.30020494094047, 2.4815382308642393,1, 
A1.100, 0.2699873757184101, 0.7001200895384878, 22.88923959827787, 5.458372306684095, 32.382838529743545, 1.8172758037175958,9, 
A2.1, 0.27226447014443955, 0.6998335801352512, 70.08798313950876, 18.542630292327225, 68.28464362787446, 2.6176374957986837,5, 
A2.2, 0.26692348873625854, 0.7009199176482873, 31.717838756644856, 11.789134532679405, 40.24973826660618, 2.018501821338814,10, 
A2.3, 0.27197116229576435, 0.7019907338701326, 23.631751322378953, 15.296305682567251, 33.07942438231684, 1.8359005470768246,1, 
A2.4, 0.28020691490199445, 0.7029614524305356, 63.99149496043806, 42.73043974559198, 64.2651482030099, 2.54017425598915,1, 
A2.5, 0.28123820337343064, 0.7042239615919483, 49.10092377512708, 9.692138011675114, 53.86257581639919, 2.328089300553629,1, 
A2.6, 0.2840131395415865, 0.7049957368315484, 65.34068294552863, 26.19240477830586, 65.16530877995257, 2.557713462163808,9, 
A2.7, 0.27734249501743297, 0.7059259672020736, 21.618450233245316, 9.755713564551165, 31.172888495226715, 1.7844939721994912,8, 
A2.8, 0.2768550926925396, 0.7072587338704817, 35.45640341994486, 34.23396891846985, 43.35346304380172, 2.092913262025076,4, 
A2.9, 0.2799543268484761, 0.7082800850061983, 37.7140525240436, 24.443611618751525, 45.174790119916295, 2.135441528653167,5, 
A2.10, 0.2838864884677133, 0.7092004971893543, 43.677664156412774, 30.508074891891734, 49.819605113990164, 2.2404113769069998,2, 
A2.11, 0.28170150350544665, 0.7102682403564752, 3.251226011529773, 1.9978466441718954, 8.815740218200869, 1.175088702344667,7, 
A2.12, 0.2876911694157311, 0.7112175206798063, 28.56481878013771, 28.287672855223526, 37.536029215033444, 1.9512281832716236,3, 
A2.13, 0.2895266192483854, 0.7123147963893988, 31.198003003743484, 28.64933752125602, 39.80875031148802, 2.007689961902324,1, 
A2.14, 0.286242415103031, 0.713161740628184, 20.76355459362917, 17.942935125988814, 30.34555943671337, 1.7617622838240004,10, 
A2.15, 0.28751773528766983, 0.7142060110151822, 6.85473879302895, 3.2721810104653266, 14.495102354297394, 1.2744934825245724,6, 
A2.16, 0.29385736447547633, 0.7149823218913713, 30.300637175056437, 11.051007072613837, 39.04168233881544, 1.988793573994162,6, 
A2.17, 0.29056001980597673, 0.7162047179849357, 16.661054517348433, 2.5202048160639245, 26.20368307141969, 1.6440008361584315,10, 
A2.18, 0.29316182073584224, 0.7171906166424518, 43.87170299740486, 23.545283340986206, 49.96704629940498, 2.2436456045597155,6, 
A2.19, 0.29877952219671333, 0.7182179074028633, 22.761992008422073, 19.527321613492802, 32.262711373546495, 1.814007420619509,5, 
A2.20, 0.28936487227402913, 0.7190839397986529, 28.968070206906916, 23.11836301105617, 37.88846901116402, 1.9600655001452088,10, 
A2.21, 0.2908446662440373, 0.7201557878293249, 55.78200017085837, 15.48991624897258, 58.64397541821273, 2.4277650706430007,3, 
A2.22, 0.30574366803315783, 0.7212881185490307, 14.084568216218027, 3.3999001937279845, 23.42734359170938, 1.561036709228347,5, 
A2.23, 0.2971754517823391, 0.7221750735059781, 15.65442291092668, 10.175297180261202, 25.13730565512684, 1.612523081676244,2, 
A2.24, 0.29828512588652023, 0.7234006856777878, 25.074951644534714, 19.115457421310076, 34.41285895048026, 1.871046584519001,9, 
A2.25, 0.3098667168743925, 0.724351505717807, 20.38688516879478, 19.241553838202105, 29.977444566470393, 1.7515486635463675,10, 
A2.26, 0.30475398410539717, 0.7254207926528469, 67.65271716163424, 66.1617560580016, 66.69360364398392, 2.5871740330004083,9, 
A2.27, 0.30827063633081053, 0.726203616182017, 12.967321616519017, 8.794904957603428, 22.171455865596, 1.522392480715237,6, 
A2.28, 0.3132337892359743, 0.7273359277682694, 33.62403832369283, 17.65507810243255, 41.846641373742365, 2.05704929871603,8, 
A2.29, 0.3145877758284719, 0.7280978624462804, 51.14599481360255, 15.07910158109856, 55.347980588427134, 2.3594414636903838,2, 
A2.30, 0.30554881480959695, 0.7291684846432168, 25.912195138667016, 23.006582546559855, 35.17468031065346, 1.8908726055714904,1, 
A2.31, 0.31576912318205264, 0.7302625792262785, 45.10352009923079, 15.190737473660375, 50.89803141991673, 2.264059983588387,10, 
A2.32, 0.3192289355721554, 0.7314568331118708, 60.117163447712635, 53.36491906948462, 61.64431286166354, 2.488320900852485,10, 
A2.33, 0.31952701608279627, 0.7323095790683203, 23.62056086685364, 0.22180931592339348, 33.068982529059014, 1.8355573484186585,1, 
A2.34, 0.3186511338183272, 0.7333613832086536, 20.194134164480552, 8.627902716215077, 29.788194896447045, 1.7462710443818992,7, 
A2.35, 0.3189619518252377, 0.7341824968529674, 35.553506400125315, 32.99099594163595, 43.432582615487966, 2.094712339199268,4, 
A2.36, 0.32013305463045505, 0.7354800773982842, 49.450573434389916, 2.472305177692922, 54.11798076376015, 2.3334361115438362,5, 
A2.37, 0.3289512502078602, 0.7362766025914784, 28.78024172480325, 12.540164964116405, 37.724514428269885, 1.9559114490754088,5, 
A2.38, 0.31702472043692775, 0.7374183722528992, 57.83411698311828, 52.50622309922233, 60.07356891456071, 2.4567667011706678,3, 
A2.39, 0.32286791478985744, 0.7385756222211737, 68.24000244180557, 39.028924036443925, 67.07902164027458, 2.5945275176109557,7, 
A2.40, 0.3248103048646287, 0.7395252564975395, 56.94744118163771, 9.461906464648639, 59.45798330046629, 2.4442929471676895,4, 
A2.41, 0.3336499072542157, 0.7404468107471446, 58.20811061843694, 43.45907341076404, 60.33227534914423, 2.461979394762377,3, 
A2.42, 0.3281729548879272, 0.741545369745454, 56.19083814194999, 31.97575283077937, 58.9301717206078, 2.4335477054740347,7, 
A2.43, 0.3355281807362236, 0.7424034038092725, 65.11139846414103, 43.79813397038747, 65.01277728123094, 2.5546384721479387,3, 
